# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.3300,-6.2413,0.8570,0.8570
-2.3229,-6.2484,0.8624,0.8624
-2.3229,-6.2555,0.8610,0.8610
-2.3229,-6.2626,0.8596,0.8596
-2.3158,-6.2697,0.8652,0.8652
-2.3158,-6.2768,0.8635,0.8635
-2.3158,-6.2839,0.8618,0.8618
-2.3158,-6.2909,0.8601,0.8601
-2.3087,-6.2980,0.8654,0.8654
-2.3087,-6.3051,0.8639,0.8639
-2.3016,-6.3122,0.8693,0.8693
-2.3016,-6.3193,0.8679,0.8679
-2.3016,-6.3264,0.8666,0.8666
-2.3016,-6.3335,0.8652,0.8652
-2.2945,-6.3406,0.8708,0.8708
-2.2945,-6.3477,0.8693,0.8693
-2.2945,-6.3548,0.8679,0.8679
-2.2874,-6.3619,0.8735,0.8735
-2.2874,-6.3690,0.8722,0.8722
-2.2804,-6.3760,0.8780,0.8780
-2.2804,-6.3831,0.8768,0.8768
-2.2804,-6.3902,0.8757,0.8757
-2.2804,-6.3973,0.8746,0.8746
-2.2733,-6.4044,0.8806,0.8806
-2.2733,-6.4115,0.8797,0.8797
-2.2733,-6.4186,0.8788,0.8788
-2.2733,-6.4257,0.8780,0.8780
-2.2662,-6.4328,0.8838,0.8838
-2.2662,-6.4399,0.8827,0.8827
-2.2591,-6.4470,0.8886,0.8886
-2.2591,-6.4541,0.8877,0.8877
-2.2591,-6.4612,0.8867,0.8867
-2.2591,-6.4682,0.8858,0.8858
-2.2591,-6.4753,0.8850,0.8850
-2.2520,-6.4824,0.8913,0.8913
-2.2520,-6.4895,0.8906,0.8906
-2.2520,-6.4966,0.8900,0.8900
-2.2520,-6.5037,0.8894,0.8894
-2.2449,-6.5108,0.8957,0.8957
-2.2449,-6.5179,0.8947,0.8947
-2.2449,-6.5250,0.8938,0.8938
-2.2449,-6.5321,0.8929,0.8929
-2.2378,-6.5392,0.8989,0.8989
-2.2378,-6.5463,0.8978,0.8978
-2.2378,-6.5534,0.8967,0.8967
-2.2378,-6.5604,0.8957,0.8957
-2.2378,-6.5675,0.8947,0.8947
-2.2307,-6.5746,0.9008,0.9008
-2.2307,-6.5817,0.8999,0.8999
-2.2307,-6.5888,0.8989,0.8989
-2.2307,-6.5959,0.8978,0.8978
-2.2236,-6.6030,0.9037,0.9037
-2.2236,-6.6101,0.9027,0.9027
-2.2236,-6.6172,0.9017,0.9017
-2.2236,-6.6243,0.9008,0.9008
-2.2165,-6.6314,0.9070,0.9070
-2.2165,-6.6385,0.9062,0.9062
-2.2165,-6.6456,0.9054,0.9054
-2.2094,-6.6526,0.9118,0.9118
-2.2094,-6.6597,0.9111,0.9111
-2.2023,-6.6668,0.9176,0.9176
-2.2023,-6.6739,0.9171,0.9171
-2.2023,-6.6810,0.9167,0.9167
-2.1952,-6.6881,0.9228,0.9228
-2.1952,-6.6952,0.9219,0.9219
-2.1952,-6.7023,0.9208,0.9208
-2.1952,-6.7094,0.9194,0.9194
-2.1952,-6.7165,0.9180,0.9180
-2.1882,-6.7236,0.9236,0.9236
-2.1882,-6.7307,0.9223,0.9223
-2.1811,-6.7378,0.9278,0.9278
-2.1811,-6.7448,0.9263,0.9263
-2.1811,-6.7519,0.9250,0.9250
-2.1740,-6.7590,0.9306,0.9306
-2.1740,-6.7661,0.9293,0.9293
-2.1740,-6.7732,0.9278,0.9278
-2.1740,-6.7803,0.9263,0.9263
-2.1669,-6.7874,0.9319,0.9319
-2.1669,-6.7945,0.9306,0.9306
-2.1669,-6.8016,0.9293,0.9293
-2.1669,-6.8087,0.9281,0.9281
-2.1598,-6.8158,0.9339,0.9339
-2.1598,-6.8229,0.9328,0.9328
-2.1598,-6.8300,0.9318,0.9318
-2.1527,-6.8370,0.9376,0.9376
-2.1527,-6.8441,0.9363,0.9363
-2.1527,-6.8512,0.9351,0.9351
-2.1527,-6.8583,0.9339,0.9339
-2.1456,-6.8654,0.9398,0.9398
-2.1385,-6.8725,0.9458,0.9458
-2.1385,-6.8796,0.9445,0.9445
-2.1385,-6.8867,0.9433,0.9433
-2.1385,-6.8938,0.9421,0.9421
-2.1314,-6.9009,0.9479,0.9479
-2.1314,-6.9080,0.9469,0.9469
-2.1314,-6.9151,0.9458,0.9458
-2.1243,-6.9221,0.9519,0.9519
-2.1243,-6.9292,0.9509,0.9509
-2.1243,-6.9363,0.9501,0.9501
-2.1243,-6.9434,0.9492,0.9492
-2.1243,-6.9505,0.9485,0.9485
-2.1172,-6.9576,0.9548,0.9548
-2.1172,-6.9647,0.9542,0.9542
-2.1172,-6.9718,0.9536,0.9536
-2.1101,-6.9789,0.9599,0.9599
-2.1101,-6.9860,0.9589,0.9589
-2.1101,-6.9931,0.9580,0.9580
-2.1101,-7.0002,0.9571,0.9571
-2.1030,-7.0073,0.9633,0.9633
-2.1030,-7.0143,0.9626,0.9626
-2.0960,-7.0214,0.9689,0.9689
-2.0960,-7.0285,0.9683,0.9683
-2.0960,-7.0356,0.9677,0.9677
-2.0889,-7.0427,0.9736,0.9736
-2.0889,-7.0498,0.9719,0.9719
-2.0889,-7.0569,0.9702,0.9702
-2.0818,-7.0640,0.9754,0.9754
-2.0818,-7.0711,0.9736,0.9736
-2.0747,-7.0782,0.9787,0.9787
-2.0747,-7.0853,0.9771,0.9771
-2.0676,-7.0924,0.9824,0.9824
-2.0676,-7.0995,0.9808,0.9808
-2.0676,-7.1065,0.9793,0.9793
-2.0605,-7.1136,0.9848,0.9848
-2.0605,-7.1207,0.9834,0.9834
-2.0605,-7.1278,0.9820,0.9820
-2.0534,-7.1349,0.9877,0.9877
-2.0534,-7.1420,0.9864,0.9864
-2.0534,-7.1491,0.9852,0.9852
-2.0534,-7.1562,0.9841,0.9841
-2.0463,-7.1633,0.9900,0.9900
-2.0463,-7.1704,0.9889,0.9889
-2.0392,-7.1775,0.9947,0.9947
-2.0392,-7.1846,0.9934,0.9934
-2.0321,-7.1917,0.9992,0.9992
-2.0321,-7.1987,0.9981,0.9981
-2.0321,-7.2058,0.9970,0.9970
-2.0250,-7.2129,1.0030,1.0030
-2.0250,-7.2200,1.0020,1.0020
-2.0179,-7.2271,1.0081,1.0081
-2.0179,-7.2342,1.0072,1.0072
-2.0179,-7.2413,1.0064,1.0064
-2.0109,-7.2484,1.0127,1.0127
-2.0109,-7.2555,1.0120,1.0120
-2.0109,-7.2626,1.0113,1.0113
-2.0038,-7.2697,1.0177,1.0177
-2.0038,-7.2768,1.0172,1.0172
-1.9967,-7.2839,1.0237,1.0237
-1.9967,-7.2909,1.0233,1.0233
-1.9967,-7.2980,1.0226,1.0226
-1.9896,-7.3051,1.0284,1.0284
-1.9896,-7.3122,1.0272,1.0272
-1.9825,-7.3193,1.0331,1.0331
-1.9825,-7.3264,1.0321,1.0321
-1.9825,-7.3335,1.0308,1.0308
-1.9754,-7.3406,1.0366,1.0366
-1.9754,-7.3477,1.0354,1.0354
-1.9754,-7.3548,1.0342,1.0342
-1.9683,-7.3619,1.0401,1.0401
-1.9683,-7.3690,1.0391,1.0391
-1.9612,-7.3760,1.0451,1.0451
-1.9612,-7.3831,1.0442,1.0442
-1.9612,-7.3902,1.0433,1.0433
-1.9541,-7.3973,1.0495,1.0495
-1.9541,-7.4044,1.0487,1.0487
-1.9541,-7.4115,1.0480,1.0480
-1.9470,-7.4186,1.0543,1.0543
-1.9470,-7.4257,1.0537,1.0537
-1.9470,-7.4328,1.0531,1.0531
-1.9470,-7.4399,1.0525,1.0525
-1.9399,-7.4470,1.0591,1.0591
-1.9399,-7.4541,1.0585,1.0585
-1.9399,-7.4612,1.0570,1.0570
-1.9328,-7.4682,1.0619,1.0619
-1.9328,-7.4753,1.0599,1.0599
-1.9328,-7.4824,1.0581,1.0581
-1.9257,-7.4895,1.0631,1.0631
-1.9257,-7.4966,1.0613,1.0613
-1.9187,-7.5037,1.0665,1.0665
-1.9187,-7.5108,1.0648,1.0648
-1.9116,-7.5179,1.0701,1.0701
-1.9116,-7.5250,1.0685,1.0685
-1.9045,-7.5321,1.0739,1.0739
-1.9045,-7.5392,1.0724,1.0724
-1.8974,-7.5463,1.0779,1.0779
-1.8974,-7.5534,1.0766,1.0766
-1.8903,-7.5604,1.0822,1.0822
-1.8903,-7.5675,1.0809,1.0809
