# x_m,y_m,w_tr_right_m,w_tr_left_m
1.5459,-0.2919,0.7453,0.7453
1.5568,-0.2919,0.7410,0.7410
1.5676,-0.2811,0.7468,0.7468
1.5784,-0.2811,0.7428,0.7428
1.5892,-0.2811,0.7389,0.7389
1.6000,-0.2703,0.7454,0.7454
1.6108,-0.2595,0.7521,0.7521
1.6216,-0.2486,0.7591,0.7591
1.6324,-0.2486,0.7559,0.7559
1.6432,-0.2378,0.7633,0.7633
1.6541,-0.2378,0.7605,0.7605
1.6649,-0.2378,0.7578,0.7578
1.6757,-0.2378,0.7552,0.7552
1.6865,-0.2270,0.7633,0.7633
1.6973,-0.2270,0.7605,0.7605
1.7081,-0.2162,0.7683,0.7683
1.7189,-0.2162,0.7657,0.7657
1.7297,-0.2162,0.7634,0.7634
1.7405,-0.2162,0.7611,0.7611
1.7514,-0.2162,0.7591,0.7591
1.7622,-0.2054,0.7678,0.7678
1.7730,-0.2054,0.7660,0.7660
1.7838,-0.2054,0.7644,0.7644
1.7946,-0.2054,0.7630,0.7630
1.8054,-0.2054,0.7617,0.7617
1.8162,-0.1946,0.7713,0.7713
1.8270,-0.1946,0.7703,0.7703
1.8378,-0.1946,0.7695,0.7695
1.8486,-0.1946,0.7688,0.7688
1.8595,-0.1946,0.7683,0.7683
1.8703,-0.1838,0.7787,0.7787
1.8811,-0.1838,0.7785,0.7785
1.8919,-0.1838,0.7784,0.7784
1.9027,-0.1838,0.7763,0.7763
1.9135,-0.1838,0.7739,0.7739
1.9243,-0.1838,0.7717,0.7717
1.9351,-0.1946,0.7591,0.7591
1.9459,-0.1946,0.7571,0.7571
1.9568,-0.1946,0.7554,0.7554
1.9676,-0.1946,0.7537,0.7537
1.9784,-0.1946,0.7523,0.7523
1.9892,-0.1946,0.7509,0.7509
2.0000,-0.1946,0.7498,0.7498
2.0108,-0.2054,0.7380,0.7380
2.0216,-0.2054,0.7371,0.7371
2.0324,-0.2054,0.7359,0.7359
2.0432,-0.2054,0.7340,0.7340
2.0541,-0.2054,0.7323,0.7323
2.0649,-0.2054,0.7308,0.7308
2.0757,-0.2054,0.7295,0.7295
2.0865,-0.2054,0.7283,0.7283
2.0973,-0.2054,0.7272,0.7272
