# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.18,-3.6625,0.5275,0.5275
-3.18,-3.65,0.5303,0.5303
-3.18,-3.6375,0.5322,0.5322
-3.18,-3.625,0.5344,0.5344
-3.1675,-3.6125,0.5247,0.5247
-3.1675,-3.6,0.5275,0.5275
-3.1675,-3.5875,0.5306,0.5306
-3.1675,-3.575,0.534,0.534
-3.1675,-3.5625,0.534,0.534
-3.155,-3.55,0.5275,0.5275
-3.155,-3.5375,0.5306,0.5306
-3.155,-3.525,0.534,0.534
-3.155,-3.5125,0.5297,0.5297
-3.1425,-3.5,0.5275,0.5275
-3.1425,-3.4875,0.5303,0.5303
-3.1425,-3.475,0.5297,0.5297
-3.13,-3.4625,0.5222,0.5222
-3.13,-3.45,0.5247,0.5247
-3.13,-3.4375,0.5275,0.5275
-3.1175,-3.425,0.5186,0.5186
-3.1175,-3.4125,0.522,0.522
-3.1175,-3.4,0.5247,0.5247
-3.105,-3.3875,0.5154,0.5154
-3.105,-3.375,0.5186,0.5186
-3.105,-3.3625,0.522,0.522
-3.105,-3.35,0.5247,0.5247
-3.0925,-3.3375,0.5154,0.5154
-3.0925,-3.325,0.5186,0.5186
-3.0925,-3.3125,0.522,0.522
-3.0925,-3.3,0.522,0.522
-3.08,-3.2875,0.518,0.518
-3.08,-3.275,0.522,0.522
-3.08,-3.2625,0.5223,0.5223
-3.08,-3.25,0.518,0.518
-3.0675,-3.2375,0.522,0.522
-3.0675,-3.225,0.522,0.522
-3.0675,-3.2125,0.5186,0.5186
-3.0675,-3.2,0.5154,0.5154
-3.0675,-3.1875,0.5125,0.5125
-3.055,-3.175,0.522,0.522
-3.055,-3.1625,0.5186,0.5186
-3.055,-3.15,0.5154,0.5154
-3.055,-3.1375,0.5125,0.5125
-3.055,-3.125,0.5099,0.5099
-3.055,-3.1125,0.5076,0.5076
-3.0425,-3.1,0.518,0.518
-3.0425,-3.0875,0.5163,0.5163
-3.0425,-3.075,0.5149,0.5149
-3.0425,-3.0625,0.5125,0.5125
-3.03,-3.05,0.5222,0.5222
-3.03,-3.0375,0.5199,0.5199
-3.03,-3.025,0.518,0.518
-3.03,-3.0125,0.5163,0.5163
-3.03,-3,0.5149,0.5149,
-3.03,-2.9875,0.5139,0.5139
-3.0175,-2.975,0.5256,0.5256
-3.0175,-2.9625,0.5251,0.5251
-3.0175,-2.95,0.525,0.525
-3.005,-2.9375,0.5369,0.5369
-3.005,-2.925,0.5344,0.5344
-3.005,-2.9125,0.5322,0.5322
-3.005,-2.9,0.5303,0.5303
-3.005,-2.8875,0.5287,0.5287
-2.9925,-2.875,0.5398,0.5398
-2.9925,-2.8625,0.5388,0.5388
-2.9925,-2.85,0.5381,0.5381
-2.9925,-2.8375,0.5376,0.5376
-2.9925,-2.825,0.5375,0.5375
-2.98,-2.8125,0.5491,0.5491
-2.98,-2.8,0.5467,0.5467
