# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.4550,-5.4750,0.6760,0.6760
-3.4550,-5.4875,0.6755,0.6755
-3.4550,-5.5000,0.6751,0.6751
-3.4550,-5.5125,0.6750,0.6750
-3.4675,-5.5250,0.6875,0.6875
-3.4675,-5.5375,0.6875,0.6875
-3.4675,-5.5500,0.6875,0.6875
-3.4675,-5.5625,0.6875,0.6875
-3.4675,-5.5750,0.6875,0.6875
-3.4675,-5.5875,0.6875,0.6875
-3.4675,-5.6000,0.6875,0.6875
-3.4800,-5.6125,0.7000,0.7000
-3.4800,-5.6250,0.7000,0.7000
-3.4800,-5.6375,0.7000,0.7000
-3.4800,-5.6500,0.7000,0.7000
-3.4925,-5.6625,0.7111,0.7111
-3.4925,-5.6750,0.7090,0.7090
-3.4925,-5.6875,0.7071,0.7071
-3.4925,-5.7000,0.7054,0.7054
-3.4925,-5.7125,0.7040,0.7040
-3.4925,-5.7250,0.7028,0.7028
-3.4925,-5.7375,0.7018,0.7018
-3.5050,-5.7500,0.7135,0.7135
-3.5050,-5.7625,0.7129,0.7129
-3.5050,-5.7750,0.7126,0.7126
-3.5050,-5.7875,0.7125,0.7125
-3.5050,-5.8000,0.7125,0.7125
-3.5050,-5.8125,0.7125,0.7125
-3.5050,-5.8250,0.7125,0.7125
-3.5175,-5.8375,0.7250,0.7250
-3.5175,-5.8500,0.7250,0.7250
-3.5175,-5.8625,0.7250,0.7250
-3.5175,-5.8750,0.7250,0.7250
-3.5175,-5.8875,0.7250,0.7250
-3.5175,-5.9000,0.7250,0.7250
-3.5300,-5.9125,0.7267,0.7267
-3.5300,-5.9250,0.7260,0.7260
-3.5300,-5.9375,0.7254,0.7254
-3.5300,-5.9500,0.7251,0.7251
-3.5300,-5.9625,0.7250,0.7250
-3.5300,-5.9750,0.7250,0.7250
-3.5300,-5.9875,0.7250,0.7250
-3.5300,-6.0000,0.7250,0.7250
-3.5300,-6.0125,0.7234,0.7234
-3.5300,-6.0250,0.7213,0.7213
-3.5300,-6.0375,0.7195,0.7195
-3.5300,-6.0500,0.7179,0.7179
-3.5300,-6.0625,0.7164,0.7164
-3.5300,-6.0750,0.7152,0.7152
-3.5175,-6.0875,0.7125,0.7125
-3.5175,-6.1000,0.7125,0.7125
-3.5175,-6.1125,0.7125,0.7125
-3.5175,-6.1250,0.7125,0.7125
-3.5175,-6.1375,0.7125,0.7125
-3.5175,-6.1500,0.7125,0.7125
-3.5175,-6.1625,0.7125,0.7125
-3.5175,-6.1750,0.7125,0.7125
-3.5175,-6.1875,0.7125,0.7125
-3.5175,-6.2000,0.7125,0.7125
-3.5300,-6.2125,0.7125,0.7125
-3.5300,-6.2250,0.7111,0.7111
-3.5300,-6.2375,0.7090,0.7090
-3.5300,-6.2500,0.7071,0.7071
-3.5300,-6.2625,0.7054,0.7054
-3.5300,-6.2750,0.7040,0.7040
-3.5300,-6.2875,0.7028,0.7028
-3.5300,-6.3000,0.7018,0.7018
-3.5175,-6.3125,0.7010,0.7010
-3.5175,-6.3250,0.7004,0.7004
-3.5175,-6.3375,0.7001,0.7001
-3.5175,-6.3500,0.7000,0.7000
-3.5175,-6.3625,0.7000,0.7000
-3.5175,-6.3750,0.7000,0.7000
-3.5175,-6.3875,0.7000,0.7000
-3.5175,-6.4000,0.7000,0.7000
-3.5175,-6.4125,0.7000,0.7000
-3.5175,-6.4250,0.7000,0.7000
-3.5175,-6.4375,0.7000,0.7000
-3.5175,-6.4500,0.7000,0.7000
-3.5175,-6.4625,0.7000,0.7000
-3.5175,-6.4750,0.7000,0.7000
-3.5175,-6.4875,0.7000,0.7000
-3.5300,-6.5000,0.6880,0.6880
-3.5300,-6.5125,0.6876,0.6876
-3.5175,-6.5250,0.6966,0.6966
-3.5175,-6.5375,0.6947,0.6947
-3.5175,-6.5500,0.6930,0.6930
-3.5175,-6.5625,0.6916,0.6916
-3.5175,-6.5750,0.6903,0.6903
-3.5175,-6.5875,0.6893,0.6893
-3.5175,-6.6000,0.6885,0.6885
-3.5175,-6.6125,0.6880,0.6880
