# x_m,y_m,w_tr_right_m,w_tr_left_m
9.3507,1.7393,0.6083,0.6083
9.4007,1.7393,0.6021,0.6021
9.4507,1.7393,0.6000,0.6000
9.5007,1.7393,0.6000,0.6000
9.5507,1.7393,0.6000,0.6000
9.6007,1.7393,0.6000,0.6000
9.6507,1.7393,0.6000,0.6000
9.7007,1.7893,0.6500,0.6500
9.7507,1.7893,0.6500,0.6500
9.8007,1.7893,0.6500,0.6500
9.8507,1.7893,0.6500,0.6500
9.9007,1.7893,0.6500,0.6500
9.9507,1.7893,0.6500,0.6500
10.0007,1.7893,0.6500,0.6500
10.0507,1.7893,0.6500,0.6500
10.1007,1.7393,0.6964,0.6964
10.1507,1.7393,0.7000,0.7000
10.2007,1.7393,0.7000,0.7000
10.2507,1.7393,0.7000,0.7000
10.3007,1.7393,0.7000,0.7000
10.3507,1.7393,0.7000,0.7000
10.4007,1.7393,0.7000,0.7000
10.4507,1.7393,0.7000,0.7000
10.5007,1.7393,0.7000,0.7000
10.5507,1.7393,0.7000,0.7000
10.6007,1.7393,0.7000,0.7000
10.6507,1.7393,0.7000,0.7000
10.7007,1.7393,0.7000,0.7000
10.7507,1.7393,0.7000,0.7000
10.8007,1.7393,0.7000,0.7000
10.8507,1.7393,0.7000,0.7000
10.9007,1.7393,0.7000,0.7000
10.9507,1.7393,0.7000,0.7000
11.0007,1.7393,0.7000,0.7000
11.0507,1.7393,0.7000,0.7000
11.1007,1.7393,0.7000,0.7000
11.1507,1.7393,0.7000,0.7000
11.2007,1.7393,0.7000,0.7000
11.2507,1.7393,0.7000,0.7000
11.3007,1.7393,0.7000,0.7000
11.3507,1.7393,0.7000,0.7000
11.4007,1.7393,0.7000,0.7000
11.4507,1.7393,0.7000,0.7000
11.5007,1.7393,0.7000,0.7000
11.5507,1.7393,0.7000,0.7000
11.6007,1.7393,0.7000,0.7000
11.6507,1.7893,0.7500,0.7500
11.7007,1.7893,0.7500,0.7500
11.7507,1.7893,0.7433,0.7433
11.8007,1.7893,0.7280,0.7280
11.8507,1.8393,0.7649,0.7649
11.9007,1.8893,0.8016,0.8016
11.9507,1.9393,0.7566,0.7566
11.9507,1.9893,0.7649,0.7649
11.9507,2.0393,0.7762,0.7762
11.9507,2.0893,0.7906,0.7906
11.9507,2.1393,0.7826,0.7826
11.9507,2.1893,0.7616,0.7616
11.9507,2.2393,0.7433,0.7433
11.9507,2.2893,0.7280,0.7280
12.0007,2.3393,0.7500,0.7500
12.0007,2.3893,0.7500,0.7500
12.0007,2.4393,0.7500,0.7500
12.0007,2.4893,0.7500,0.7500
12.0007,2.5393,0.7500,0.7500
12.0007,2.5893,0.7500,0.7500
12.0007,2.6393,0.7500,0.7500
12.0007,2.6893,0.7500,0.7500
12.0007,2.7393,0.7500,0.7500
12.0007,2.7893,0.7517,0.7517
12.0007,2.8393,0.7566,0.7566
12.0007,2.8893,0.7649,0.7649
12.0007,2.9393,0.7762,0.7762
12.0007,2.9893,0.7906,0.7906
12.0007,3.0393,0.8000,0.8000
12.0007,3.0893,0.8000,0.8000
12.0007,3.1393,0.8000,0.8000
12.0007,3.1893,0.8000,0.8000
12.0007,3.2393,0.8000,0.8000
12.0007,3.2893,0.8000,0.8000
11.9507,3.3393,0.8500,0.8500
11.9507,3.3893,0.8500,0.8500
11.9007,3.4393,0.8000,0.8000
11.8507,3.4393,0.8000,0.8000
11.8007,3.4393,0.8000,0.8000
11.7507,3.4893,0.7500,0.7500
11.7007,3.4893,0.7500,0.7500
11.6507,3.4893,0.7500,0.7500
11.6007,3.4893,0.7500,0.7500
11.5507,3.4893,0.7500,0.7500
11.5007,3.4893,0.7500,0.7500
11.4507,3.4893,0.7500,0.7500
11.4007,3.4893,0.7433,0.7433
11.3507,3.4893,0.7280,0.7280
11.3007,3.4893,0.7159,0.7159
11.2507,3.4893,0.7071,0.7071
11.2007,3.4893,0.7018,0.7018
11.1507,3.4893,0.7000,0.7000
11.1007,3.4893,0.7000,0.7000
11.0507,3.4893,0.7000,0.7000
11.0007,3.4893,0.7000,0.7000
10.9507,3.4893,0.7000,0.7000
10.9007,3.4893,0.7000,0.7000
10.8507,3.4893,0.7000,0.7000
10.8007,3.4893,0.7000,0.7000
10.7507,3.4893,0.7000,0.7000
10.7007,3.5393,0.7000,0.7000
10.6507,3.5393,0.7000,0.7000
10.6007,3.5393,0.7000,0.7000
10.5507,3.5393,0.7000,0.7000
10.5007,3.5393,0.7018,0.7018
10.4507,3.5393,0.7071,0.7071
10.4007,3.5393,0.7159,0.7159
10.3507,3.5393,0.7071,0.7071
10.3007,3.5393,0.7018,0.7018
10.2507,3.5393,0.7000,0.7000
10.2007,3.5393,0.7000,0.7000
10.1507,3.5393,0.7000,0.7000
10.1007,3.5393,0.7000,0.7000
10.0507,3.5393,0.7000,0.7000
10.0007,3.5393,0.7000,0.7000
9.9507,3.5393,0.7000,0.7000
9.9007,3.5393,0.7000,0.7000
9.8507,3.5393,0.7000,0.7000
9.8007,3.5393,0.7000,0.7000
9.7507,3.5393,0.7000,0.7000
9.7007,3.5393,0.7018,0.7018
9.6507,3.5393,0.7071,0.7071
9.6007,3.5393,0.7159,0.7159
9.5507,3.5393,0.7280,0.7280
9.5007,3.5393,0.7433,0.7433
9.4507,3.5393,0.7500,0.7500
9.4007,3.5393,0.7500,0.7500
9.3507,3.5393,0.7500,0.7500
9.3007,3.5393,0.7500,0.7500
9.2507,3.4893,0.7018,0.7018
9.2007,3.4893,0.7071,0.7071
9.1507,3.4893,0.7159,0.7159
9.1007,3.4893,0.7280,0.7280
9.0507,3.4893,0.7433,0.7433
9.0007,3.4893,0.7517,0.7517
8.9507,3.4893,0.7566,0.7566
8.9007,3.4893,0.7517,0.7517
8.8507,3.4893,0.7500,0.7500
8.8007,3.4393,0.7433,0.7433
8.7507,3.4393,0.7566,0.7566
8.7007,3.4393,0.7649,0.7649
8.6507,3.3893,0.7280,0.7280
8.6007,3.3893,0.7433,0.7433
8.5507,3.3893,0.7517,0.7517
8.5007,3.3393,0.7071,0.7071
8.4507,3.3393,0.7159,0.7159
8.4007,3.3393,0.7280,0.7280
8.3507,3.3393,0.7433,0.7433
8.3007,3.3393,0.7280,0.7280
8.2507,3.3393,0.7159,0.7159
8.2007,3.3393,0.7071,0.7071
8.1507,3.2893,0.7433,0.7433
8.1007,3.2893,0.7500,0.7500
8.0507,3.2393,0.7280,0.7280
8.0007,3.2393,0.7433,0.7433
7.9507,3.2393,0.7616,0.7616
7.9007,3.1893,0.7382,0.7382
7.8507,3.1893,0.7616,0.7616
7.8007,3.1393,0.7382,0.7382
7.7507,3.1393,0.7616,0.7616
7.7007,3.0893,0.7382,0.7382
7.6507,3.0893,0.7616,0.7616
7.6007,3.0393,0.7500,0.7500
7.5507,3.0393,0.7616,0.7616
7.5007,2.9893,0.7632,0.7632
7.4507,2.9393,0.7500,0.7500
7.4007,2.9393,0.7810,0.7810
7.3507,2.8893,0.7632,0.7632
7.3007,2.8893,0.7826,0.7826
7.2507,2.8393,0.7810,0.7810
7.2007,2.8393,0.7826,0.7826
7.1507,2.7893,0.8062,0.8062
7.1007,2.7393,0.8139,0.8139
7.0507,2.7393,0.8062,0.8062
7.0007,2.6893,0.8276,0.8276
6.9507,2.6393,0.8485,0.8485
6.9007,2.5893,0.8485,0.8485
6.8507,2.5893,0.8500,0.8500
6.8007,2.5393,0.8732,0.8732
6.7507,2.4893,0.8902,0.8902
6.7007,2.4393,0.9014,0.9014
6.6507,2.3893,0.9179,0.9179
6.6007,2.3893,0.9179,0.9179
6.5507,2.3393,0.9394,0.9394
6.5007,2.2893,0.9552,0.9552
6.4507,2.2893,0.9394,0.9394
6.4007,2.2393,0.9618,0.9618
6.3507,2.1893,0.9849,0.9849
6.3007,2.1393,0.9925,0.9925
6.2507,2.0893,1.0000,1.0000
6.2007,2.0393,1.0000,1.0000
6.1507,1.9893,0.9500,0.9500
6.1007,1.9393,0.9000,0.9000
6.0507,1.9393,0.9000,0.9000
6.0007,1.8893,0.8500,0.8500
5.9507,1.8893,0.8500,0.8500
5.9007,1.8893,0.8515,0.8515
5.8507,1.8893,0.8559,0.8559
5.8007,1.8393,0.8139,0.8139
5.7507,1.8393,0.8246,0.8246
5.7007,1.8393,0.8382,0.8382
5.6507,1.8393,0.8500,0.8500
5.6007,1.8393,0.8500,0.8500
5.5507,1.8393,0.8500,0.8500
5.5007,1.8393,0.8500,0.8500
5.4507,1.8393,0.8500,0.8500
5.4007,1.8393,0.8500,0.8500
5.3507,1.8393,0.8500,0.8500
5.3007,1.8393,0.8500,0.8500
5.2507,1.8393,0.8500,0.8500
5.2007,1.8393,0.8500,0.8500
5.1507,1.8393,0.8500,0.8500
5.1007,1.8393,0.8500,0.8500
5.0507,1.8393,0.8515,0.8515
5.0007,1.8393,0.8559,0.8559
4.9507,1.8393,0.8631,0.8631
4.9007,1.8393,0.8732,0.8732
4.8507,1.8393,0.8860,0.8860
4.8007,1.8393,0.9000,0.9000
4.7507,1.8393,0.9000,0.9000
4.7007,1.8393,0.9000,0.9000
4.6507,1.8893,0.9179,0.9179
4.6007,1.8893,0.9220,0.9220
4.5507,1.8893,0.9124,0.9124
4.5007,1.9393,0.9394,0.9394
4.4507,1.9393,0.9192,0.9192
4.4007,1.9893,0.9341,0.9341
4.3507,2.0393,0.9000,0.9000
4.3007,2.0893,0.8500,0.8500
4.3007,2.1393,0.8500,0.8500
4.2507,2.1893,0.8000,0.8000
4.2507,2.2393,0.8000,0.8000
4.2007,2.2893,0.7500,0.7500
4.2007,2.3393,0.7500,0.7500
4.2007,2.3893,0.7500,0.7500
4.2007,2.4393,0.7500,0.7500
4.2007,2.4893,0.7500,0.7500
4.2007,2.5393,0.7500,0.7500
